Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary,School
Caleb Walker,10,JR,F,6-9,220.0,"Eugene, MO",Eugene (MO); USAFA Prep (CO),,"11.4 Pts, 5.4 Reb, 0.8 Ast",Air Force
Eli Robinson,30,SO,F,6-6,215.0,"Monument, CO",Lewis Palmer (CO),,"7.6 Pts, 5.0 Reb, 1.7 Ast",Air Force
Ethan Greenberg,21,FR,G,6-4,195.0,"Centerville, OH",Centerville (OH),,"6.8 Pts, 2.3 Reb, 1.1 Ast",Air Force
Wesley Celichowski,51,JR,C,7-0,245.0,"Georgetown, IN",Floyd Central (IN); USAFA Prep (CO),,"4.7 Pts, 2.2 Reb, 1.3 Ast",Air Force
Kolby Gilles,32,JR,F,6-5,240.0,"Chicago, IL",St. Ignatius College Prep (IL); USAFA Prep (CO),,"2.6 Pts, 1.7 Reb, 0.7 Ast",Air Force
William Dering,5,FR,F,6-9,230.0,"Dallas, TX",Highland Park (TX),,"6.6 Pts, 3.1 Reb, 0.0 Ast",Air Force
AJ Patterson,2,SO,G,6-3,200.0,"Atlanta, GA",Mount Vernon Presbyterian (GA),,"2.3 Pts, 1.9 Reb, 1.6 Ast",Air Force
Justin Hinds,15,FR,G,6-5,200.0,"Wilmington, DE",Salesianum School (DE),,"1.6 Pts, 1.8 Reb, 0.6 Ast",Air Force
Brendan Martin,11,FR,F,6-6,195.0,"Huntsville, AL",Grissom (AL),,"2.2 Pts, 0.5 Reb, 0.2 Ast",Air Force
Kyle Marshall,35,SO,G,6-4,190.0,"Oyster Bay, NY",Millbrook School (NY),,"3.5 Pts, 2.8 Reb, 2.0 Ast",Air Force
Elliott Taite,7,SO,G,6-3,195.0,"Frisco, TX","Heritage (Frisco, TX)",,"1.4 Pts, 0.2 Reb, 0.2 Ast",Air Force
Samuel Imade,33,FR,F,6-6,200.0,"Cincinnati, OH",Sycamore (OH),,"0.8 Pts, 0.1 Reb, 0.0 Ast",Air Force
Josh Gatete,0,JR,F,6-9,190.0,"Granger, IN",Penn (IN),,"0.3 Pts, 0.5 Reb, 0.4 Ast",Air Force
Chris Catchings,25,FR,G,6-4,210.0,"Houston, TX",Fort Bend Marshall (TX),,"0.0 Pts, 0.3 Reb, 1.0 Ast",Air Force
Keaton Frisch,8,FR,F,6-6,195.0,"Waunakee, WI",Waunakee (WI),,"0.0 Pts, 0.0 Reb, 0.0 Ast",Air Force
Tavari Johnson,5,SR,G,5-11,155.0,"Chicago, IL",Lyons Township (IL),,"20.3 Pts, 2.8 Reb, 5.2 Ast",Akron
Amani Lyles,0,SR,F,6-7,226.0,"Columbus, OH",Beechcroft (OH),,"14.6 Pts, 7.3 Reb, 2.4 Ast",Akron
Shammah Scott,1,SR,G,6-2,180.0,"Cleveland, OH",Shaker Heights (OH),,"12.7 Pts, 2.8 Reb, 3.0 Ast",Akron
Evan Mahaffey,12,SR,F,6-6,200.0,"Cincinnati, OH",Archbishop Moeller (OH),,"9.8 Pts, 4.9 Reb, 3.5 Ast",Akron
Eric Mahaffey,4,SO,G,6-4,190.0,"Cincinnati, OH",Archbishop Moeller (OH),,"8.0 Pts, 6.2 Reb, 1.4 Ast",Akron
Bowen Hardman,15,SR,G,6-3,175.0,"Cincinnati, OH",Princeton (OH),,"7.7 Pts, 1.5 Reb, 0.2 Ast",Akron
Sharron Young,3,SO,G,6-0,160.0,"Morgantown, WV",Morgantown (WV),,"7.1 Pts, 2.7 Reb, 1.7 Ast",Akron
Zach Halligan,21,JR,G,6-4,205.0,"Uniontown, OH",Walsh Jesuit (OH),,"3.1 Pts, 2.3 Reb, 0.8 Ast",Akron
Marvin Musiime-Kamali,23,JR,F,6-6,195.0,"Boston, MA",Thayer Academy (MA); Cushing Academy (MA),,"2.5 Pts, 2.2 Reb, 0.5 Ast",Akron
Halil Barre,8,SR,F,6-9,220.0,"Cotonou, Benin",Our Saviour New American (NY); Montverde Academy (FL); Scotland Campus (PA),,"4.3 Pts, 2.3 Reb, 0.2 Ast",Akron
Ognjen Stankovic,16,FR,G,6-8,205.0,"Belgrade, Serbia",KK Igokea (Bosnia & Herzegovina),,"2.6 Pts, 2.1 Reb, 0.6 Ast",Akron
Rich Brisco,2,SO,F,6-8,230.0,"Brooklyn, NY",Roselle Catholic (NJ); Hillcrest Prep (AZ),,"1.4 Pts, 0.9 Reb, 0.0 Ast",Akron
Conner Groce,11,SO,G,6-0,165.0,"Richfield, OH",Revere (OH),,"0.7 Pts, 0.0 Reb, 0.1 Ast",Akron
Cody Head,9,JR,G,6-3,170.0,"Cleveland, OH",Lutheran East (OH),,,Akron
Josh Henderson,7,FR,G,6-5,170.0,"Westerville, OH",Westerville Central (OH),,,Akron
Tai Perkins,6,FR,G,6-0,150.0,"Westerville, OH",Westerville North (OH),,,Akron
Labaron Philon,0,SO,G,6-4,177.0,"Mobile, AL",Baker (AL); Link Academy (MO),32 (2024),"21.8 Pts, 3.4 Reb, 5.0 Ast",Alabama
Aden Holloway,2,JR,G,6-1,178.0,"Charlotte, NC",Matthews Covenant Day School (NC); La Lumiere School (IN); Prolific Prep (CA),17 (2023),"16.9 Pts, 2.6 Reb, 3.9 Ast",Alabama
Aiden Sherrell,22,SO,F,6-10,240.0,"Detroit, MI",Wasatch Academy (UT); Prolific Prep (CA),21 (2024),"11.2 Pts, 6.0 Reb, 0.9 Ast",Alabama
Amari Allen,5,FR,F,6-7,205.0,"Green Bay, WI",IMG Academy (FL); Ashwaunenon (WI),69 (2025),"11.9 Pts, 7.7 Reb, 3.5 Ast",Alabama
Latrell Wrightsell,3,SR,G,6-3,189.0,"Omaha, NE",Omaha Central HS,,"12.3 Pts, 2.6 Reb, 2.2 Ast",Alabama
Houston Mallette,95,SR,G,6-5,185.0,"Alameda, CA",Pacifica Christian HS,,"7.2 Pts, 4.4 Reb, 1.1 Ast",Alabama
London Jemison,6,FR,F,6-8,205.0,"Bloomfield, CT",Northwest Catholic (CT); St. Thomas More (CT),34 (2025),"6.3 Pts, 3.4 Reb, 0.3 Ast",Alabama
Taylor Bol Bowen,7,JR,F,6-10,195.0,"Jericho, VT",St. George School (RI); Brewster Academy (NH),71 (2023),"6.9 Pts, 4.9 Reb, 0.4 Ast",Alabama
Jalil Bethea,1,SO,G,6-5,190.0,"Philadelphia, PA",Archbishop Wood (PA),7 (2024),"5.1 Pts, 1.9 Reb, 0.6 Ast",Alabama
Charles Bediako,14,SR,C,7-0,225.0,"Brampton, Canada",IMG Academy,30 (2021),"10.0 Pts, 4.6 Reb, 0.2 Ast",Alabama
Keitenn Bristow,10,SO,F,6-8,190.0,"Wichita Falls, TX",Holliday (TX),,"3.6 Pts, 4.0 Reb, 0.5 Ast",Alabama
Davion Hannah,4,FR,G,6-6,190.0,"Milwaukee, WI",Nicolet (WI); Link Academy (MO),45 (2025),"3.3 Pts, 1.9 Reb, 0.8 Ast",Alabama
Noah Williamson,15,SR,C,7-0,244.0,"Riga, Latvia",Riga State Gymnasium (Latvia); St. Thomas More (CT),,"1.1 Pts, 1.6 Reb, 0.4 Ast",Alabama
Jacob Martin,25,FR,C,6-10,220.0,,IMG Academy (FL),,"0.4 Pts, 0.1 Reb, 0.1 Ast",Alabama
Preston Murphy,11,JR,G,6-1,175.0,"Barrington, RI",St. Andrew's School (RI),,"0.4 Pts, 0.4 Reb, 0.4 Ast",Alabama
Collins Onyejiaka,34,FR,C,6-11,265.0,"Abuja, Nigeria",The Newman School (MA),,"1.0 Pts, 3.0 Reb, 0.0 Ast",Alabama
Jack Fagan,31,FR,G,5-10,,"Greenville, SC",Christ Church Episcopal School (SC),,"0.0 Pts, 0.0 Reb, 0.0 Ast",Alabama
Klark James,30,FR,G,5-10,175.0,,Horseshoe Bend (AL),,"0.0 Pts, 0.0 Reb, 0.0 Ast",Alabama
Kintavious Dozier,0,SR,G,6-1,185.0,"Lanett, AL",Lannett (AL),,"15.5 Pts, 4.0 Reb, 2.0 Ast",Alabama A&M
Koron Davis,1,SR,G,6-6,185.0,"Gary, IN",Bowman Academy (IN),,"13.7 Pts, 5.4 Reb, 0.8 Ast",Alabama A&M
Sami Pissis,3,SR,G,6-3,195.0,"Paris, France",Trinity Christian (GA),,"11.4 Pts, 3.5 Reb, 3.7 Ast",Alabama A&M
James Graham,21,SR,F,6-8,205.0,"Milwaukee, WI",Nicolet HS,,"9.6 Pts, 3.9 Reb, 0.8 Ast",Alabama A&M
P.J. Eason,10,SR,F,6-9,240.0,"Dadeville, AL",Dadeville (AL),,"7.5 Pts, 6.8 Reb, 0.9 Ast",Alabama A&M
Louis Hutchinson,24,JR,G,6-7,185.0,"Upper Marlboro, MD",Episcopal (VA); IMG Academy (FL); Long Island Lutheran (NY),,"3.6 Pts, 1.6 Reb, 0.7 Ast",Alabama A&M
Bilal Abdur-Rahman,2,JR,G,5-11,160.0,"Atlanta, GA",Norcross High School (GA),,"3.8 Pts, 1.3 Reb, 1.3 Ast",Alabama A&M
Gabe Kincy,4,JR,G,6-7,210.0,"Broward County, FL",West Oak Academy (FL),,"4.3 Pts, 2.9 Reb, 0.6 Ast",Alabama A&M
James Flippin,30,SR,F,6-10,255.0,"Milwaukee, WI",Tennessee Prep (TN),,"2.8 Pts, 1.9 Reb, 0.7 Ast",Alabama A&M
Peyton Daniels,8,JR,G,6-2,185.0,"Ellenwood, GA",Tri-Cities HS,,"5.6 Pts, 2.0 Reb, 0.6 Ast",Alabama A&M
Angok Anyang,13,JR,F,6-9,206.0,"Adelaide, Australia",NW Tasmania Thunder (Australia),,"1.1 Pts, 1.4 Reb, 0.2 Ast",Alabama A&M
Tajden Davis,11,JR,G,6-5,205.0,"Tallahassee, FL",Amos P. Godby (FL),,"1.0 Pts, 0.9 Reb, 0.2 Ast",Alabama A&M
Jalen Carruth,5,JR,F,6-7,190.0,"Atlanta, GA",Lincoln Academy (GA),,"1.8 Pts, 0.9 Reb, 0.1 Ast",Alabama A&M
Sam Onu,23,SR,C,6-11,270.0,"Lagos, Nigeria",The Phelps School (PA),,"1.1 Pts, 1.0 Reb, 0.1 Ast",Alabama A&M
Jayden Jackson,7,FR,G,5-10,175.0,"West Monroe, LA",West Monroe (LA),,,Alabama A&M
Isaiah Ramey,20,SR,G,6-7,205.0,"Cedarville, OH",Cedarville (OH),,,Alabama A&M
Micah Simpson,2,SR,G,6-2,190.0,"Morristown, TN",Morristown East (TN),,"14.0 Pts, 3.4 Reb, 3.5 Ast",Alabama State
Asjon Anderson,20,JR,G,6-2,160.0,"Tacoma, WA",Mount Tahoma (WA),,"15.3 Pts, 2.4 Reb, 3.5 Ast",Alabama State
Tyler Byrd,0,JR,G,6-3,190.0,"Memphis, TN",Tipton-Rosemark Academy (TN),,"10.5 Pts, 3.2 Reb, 1.1 Ast",Alabama State
Jerquarius Stanback,24,SO,F,6-10,190.0,"Asheboro, NC",Asheboro (NC),,"8.4 Pts, 5.6 Reb, 0.7 Ast",Alabama State
Demarien Yates,1,JR,F,6-7,210.0,"Somerville, TN",Fayette-Ware (TN),,"7.1 Pts, 3.9 Reb, 0.7 Ast",Alabama State
Cam Palesse,11,JR,G,6-5,190.0,"Waukesha, WI",Waukesha West HS,,"5.7 Pts, 4.4 Reb, 1.7 Ast",Alabama State
R'Chaun King,23,FR,F,6-6,225.0,"Memphis, TN",Bartlett (TN),,"5.2 Pts, 2.6 Reb, 0.4 Ast",Alabama State
Tyler Mack,5,SR,G,6-5,185.0,"Warren, MI",Cousino (MI),,"7.3 Pts, 3.4 Reb, 0.8 Ast",Alabama State
Tyler Mason,12,JR,F,6-10,190.0,"Stafford, VA",PHH Prep (AZ),,"3.3 Pts, 1.9 Reb, 0.1 Ast",Alabama State
Jasteven Walker,25,SR,F,6-10,190.0,"Oakland, TN",Fayette Ware (TN),,"4.8 Pts, 3.8 Reb, 0.5 Ast",Alabama State
Mario Andrews,4,SR,C,6-7,200.0,"Independence, LA",Independence (LA),,"1.7 Pts, 3.4 Reb, 0.1 Ast",Alabama State
Trey Miller,3,SR,G,6-2,185.0,"Houston, TX",Concordia Lutheran (TX),,"7.3 Pts, 2.0 Reb, 4.0 Ast",Alabama State
Kevin Alabi,22,SO,F,6-9,210.0,"Brampton, Canada",Skyline Prep (ON),,"1.0 Pts, 2.0 Reb, 0.0 Ast",Alabama State
Jordon Marshall,13,SR,G,6-2,200.0,"Covington, GA",Newton (GA),,"0.7 Pts, 0.3 Reb, 0.3 Ast",Alabama State
Damarion Bonds,7,SR,,6-6,180.0,"Pontiac, MI",Waterford Mott (MI),,,Alabama State
Damion Cox Jr,10,FR,G,6-2,160.0,"Memphis, TN","Central (Memphis, TN)",,,Alabama State
Amir Lindsey,2,SO,G,5-10,160.0,"Framingham, MA",The Rivers School (MA),,"17.6 Pts, 3.1 Reb, 4.8 Ast",Albany (NY)
Okechukwu Okeke,0,SR,F,6-9,225.0,"East Chicago, IN",East Chicago Central (IN); Lafitte Prep (LA),,"10.5 Pts, 6.9 Reb, 0.9 Ast",Albany (NY)
Isaac Abidde,5,SR,F,6-9,195.0,"Albany, GA",Westover HS,,"9.3 Pts, 4.3 Reb, 0.6 Ast",Albany (NY)
Jaden Kempson,11,JR,G,6-3,182.0,"Bronx, NY",Covenant Prep (NJ),,"10.4 Pts, 4.4 Reb, 3.0 Ast",Albany (NY)
Zach Matulu,14,SO,G,6-2,190.0,"Albany, NY",Shaker (NY),,"9.4 Pts, 5.9 Reb, 2.0 Ast",Albany (NY)
Nasir Muhammad,8,JR,G,6-2,186.0,"Brooklyn, NY",Xaverian (NY),,"9.1 Pts, 2.3 Reb, 2.3 Ast",Albany (NY)
Tarique Foster,24,JR,F,6-8,185.0,"Bronx, NY",Cardinal Hayes (NY); Putman Science Academy (CT),,"5.6 Pts, 2.2 Reb, 0.8 Ast",Albany (NY)
Ma'Kye Taylor,13,SO,F,6-8,220.0,"Philadelphia, PA",Imhotep Institute (PA),,"3.1 Pts, 2.1 Reb, 0.4 Ast",Albany (NY)
Abdoulaye Fall,22,JR,G,6-10,205.0,"Dakar, Senegal",Spire Academy (OH),,"9.6 Pts, 3.4 Reb, 1.1 Ast",Albany (NY)
Miles Rose,4,JR,G,6-4,190.0,"Rochester, NY",Bishop Kearney (NY); Putnam Science Academy (CT),,"2.8 Pts, 1.2 Reb, 1.2 Ast",Albany (NY)
Ife West-Ingram,7,JR,F,6-6,205.0,"Philadelphia, PA",Abington Friends (PA),,"6.9 Pts, 2.8 Reb, 0.8 Ast",Albany (NY)
Yaya Keita,25,SR,F,6-8,240.0,"St. Louis, MO",De Smet (MO),,"3.3 Pts, 1.8 Reb, 0.5 Ast",Albany (NY)
Bautista Giralt,10,SO,C,7-0,225.0,"Buenos Aires, Argentina",Florida Day School (Argentina),,"1.1 Pts, 0.6 Reb, 0.2 Ast",Albany (NY)
Sultan Adewale,33,JR,F,6-7,225.0,"East London, United Kingdom",Neumann Goretti (PA),,,Albany (NY)
Wilkin Paulino,3,FR,G,6-2,185.0,"Worcester, MA",Proctor Academy (NH),,,Albany (NY)
Will Richardson,1,JR,G,6-3,170.0,"Teaneck, NJ",Bergen Catholic (NJ),,,Albany (NY)
Shane Lancaster,0,JR,G,6-4,195.0,"Bowie, MD",St. John's College High School (DC),,"11.5 Pts, 1.9 Reb, 1.9 Ast",Alcorn State
Tycen McDaniels,8,JR,G,6-8,188.0,"Columbus, GA",Spencer (GA),,"10.1 Pts, 5.2 Reb, 0.9 Ast",Alcorn State
Jameel Morris,1,JR,G,6-1,177.0,"Willingboro, NJ",Our Savior Lutheran (NJ); Trenton Catholic (NJ),,"9.6 Pts, 2.4 Reb, 3.1 Ast",Alcorn State
Nick Woodard,7,SR,F,6-6,215.0,"Oglethorpe, GA",Taylor County (GA),,"8.7 Pts, 4.2 Reb, 1.4 Ast",Alcorn State
Davian Williams,3,SO,G,6-0,160.0,"Vicksburg, MS",Vicksburg (MS),,"8.6 Pts, 3.0 Reb, 1.5 Ast",Alcorn State
Omari Hamilton,12,SR,G,6-6,195.0,"Atlanta, GA",Dacula (GA),,"7.0 Pts, 3.6 Reb, 0.4 Ast",Alcorn State
Travis Roberts,30,JR,G,6-6,205.0,"Waldorf, MD",Bishop Walsh (MD),,"4.2 Pts, 1.6 Reb, 0.3 Ast",Alcorn State
Bryson Calamese,4,JR,G,6-0,190.0,"Little Rock, AR",Joe T. Robinson (AR),,"3.5 Pts, 0.8 Reb, 1.5 Ast",Alcorn State
Mike Jones,22,FR,G,6-6,218.0,"Rockford, IL",Chi Prep (IL),,"3.5 Pts, 3.4 Reb, 1.1 Ast",Alcorn State
Will Henderson,6,JR,F,6-10,200.0,"Richmond, VA",Scotland County Prep,,"2.6 Pts, 1.6 Reb, 0.1 Ast",Alcorn State
Jeremy Ellis,2,JR,F,6-8,197.0,"Hamilton, NJ",Hamilton West (NJ),,"1.1 Pts, 0.9 Reb, 0.2 Ast",Alcorn State
Alex Hawkins,10,JR,G,6-4,190.0,"Frederick, MD",Hargrave Military Academy (VA),,,Alcorn State
Madden Collins,2,FR,G,6-5,180.0,"Columbia, SC",Christ School (SC),,"13.6 Pts, 5.1 Reb, 2.1 Ast",American
Greg Jones,23,JR,F,6-6,195.0,"Alexandria, VA",Hayfield Secondary (VA),,"12.1 Pts, 4.5 Reb, 2.1 Ast",American
Julen Iturbe,32,SO,F,6-6,240.0,"Greenville, SC",Riverside (SC),,"10.3 Pts, 5.0 Reb, 2.3 Ast",American
Geoff Sprouse,12,SR,G,6-0,180.0,"Pembroke Pines, FL",Pembroke Pines (FL),,"9.0 Pts, 2.1 Reb, 1.8 Ast",American
Wyatt Nausadis,7,SO,G,6-4,200.0,"Traverse City, MI",St. Francis (MI),,"8.4 Pts, 1.5 Reb, 1.9 Ast",American
Matt Mayock,33,JR,F,6-7,191.0,"Berwyn, PA",Conestoga (PA); Westtown (PA),,"8.4 Pts, 3.8 Reb, 1.7 Ast",American
Kade Sebastian,4,FR,G,6-4,180.0,"Fairfax, VA",DeMatha Catholic (MD),,"5.4 Pts, 2.7 Reb, 1.2 Ast",American
Chris Eagan,35,FR,F,6-8,220.0,"Charlotte, NC",Charlotte Catholic (NC),,"4.3 Pts, 1.6 Reb, 0.1 Ast",American
Dean Hogans,3,FR,G,6-4,200.0,"White Plains, NY",The Hotchkiss School (CT),,"2.8 Pts, 1.3 Reb, 0.2 Ast",American
Carson McDonald,13,FR,F,6-9,220.0,"Denver, CO",The Newman School (MA),,"7.3 Pts, 5.0 Reb, 0.3 Ast",American
Luke Brown,16,FR,F,6-9,200.0,"Greenville, DE",Salesianum (DE); Vermont Academy (VT),,"1.1 Pts, 1.4 Reb, 0.4 Ast",American
Matthew Casey,9,FR,G,6-4,180.0,"Miami, FL",Riviera Prep (FL),,"0.6 Pts, 0.6 Reb, 0.1 Ast",American
Jack Anderson,8,FR,G,6-4,185.0,"Menlo Park, CA",Menlo Atherton (CA),,"0.3 Pts, 0.3 Reb, 0.0 Ast",American
Gibraltar Coleman,14,JR,F,6-6,225.0,"Lorton, VA",Flint Hill (VA),,,American
Noah Jones,21,SR,F,6-6,200.0,"Baltimore, MD",Mount Saint Joseph (MD),,,American
Eric Michaels,25,SO,F,6-9,247.0,"Poughkeepsie, NY",Blair Academy (NJ),,,American
Shane O'Reilly,22,SO,G,6-3,190.0,"Moraga, CA",Northfield Mount Hermon (MA),,,American
Kamran Prince,1,FR,G,6-2,180.0,"Goldsboro, NC",Trinity Academy of Raleigh (NC),,,American
Adrian Samuels,10,SR,G,6-5,170.0,"Nashville, TN",University School of Nashville (TN),,,American
Kasen Jennings,13,SR,G,6-3,196.0,"Newnan, GA",Langston Hughes HS,,"15.4 Pts, 4.2 Reb, 2.2 Ast",Appalachian State
Alonzo Dodd,2,SR,G,6-1,170.0,"St. Paul, MN",South St. Paul (MN),,"13.8 Pts, 5.3 Reb, 4.2 Ast",Appalachian State
Luke Wilson,3,JR,C,6-9,285.0,"Augusta, GA",Augusta Christian School (GA),,"10.4 Pts, 7.9 Reb, 0.6 Ast",Appalachian State
Jalen Tot,9,SR,G,6-0,170.0,"Dallas, TX","John Paul II (Plano, TX)",,"9.1 Pts, 1.9 Reb, 1.1 Ast",Appalachian State
Michael Marcus,44,SO,F,6-9,255.0,"Indian Trail, NC",Covenant Day (NC),,"8.2 Pts, 6.0 Reb, 0.4 Ast",Appalachian State
Eren Banks,4,JR,G,6-4,175.0,"Eatonton, GA",Putnam County (GA),,"6.1 Pts, 2.7 Reb, 1.8 Ast",Appalachian State
Jason Clarke,5,SO,G,6-0,177.0,"Silver Spring, MD",Miller School (VA),,"3.8 Pts, 1.7 Reb, 1.5 Ast",Appalachian State
Chad Moodie,23,JR,F,6-8,225.0,"Grayson, GA",Grayson High School (GA),,"2.6 Pts, 2.8 Reb, 0.1 Ast",Appalachian State
Andrin Njock,21,SO,F,6-6,205.0,"Winterthur, Switzerland",Ecole Nouvelle de la Suisse Romande,,"3.4 Pts, 3.2 Reb, 0.4 Ast",Appalachian State
Jacari Brim,6,FR,G,6-2,190.0,"Winston-Salem, NC",West Forsyth (NC),,"1.2 Pts, 0.7 Reb, 0.7 Ast",Appalachian State
Luke Ledford,32,JR,G,6-3,190.0,"Raleigh, NC",Broughton (NC),,"5.5 Pts, 1.5 Reb, 1.0 Ast",Appalachian State
Cameron O'Kelley,14,SO,G,6-3,165.0,"Seneca, SC",Seneca (SC),,"3.0 Pts, 1.0 Reb, 1.0 Ast",Appalachian State
Grant Clayton,33,FR,F,6-7,220.0,"Asheville, NC",A.C. Reynolds (NC),,"4.0 Pts, 6.0 Reb, 0.5 Ast",Appalachian State
Tre Mckinnon,8,FR,F,6-5,177.0,"Wilmington, NC",Lake Norman (NC),,,Appalachian State
Ted Neal,7,FR,G,6-7,200.0,"Greensboro, GA",Newton (GA),,,Appalachian State
KJ Vasser,0,JR,G,6-1,180.0,"Chicago, IL",Yorkville Christian (IL),,,Appalachian State
Brayden Burries,5,FR,G,6-4,205.0,"San Bernardino, CA",Eleanor Roosevelt (CA),9 (2025),"15.5 Pts, 4.6 Reb, 2.6 Ast",Arizona
Jaden Bradley,0,SR,G,6-3,185.0,"Rochester, NY",Cannon School (NC); IMG Academy (FL),24 (2022),"13.3 Pts, 3.5 Reb, 4.7 Ast",Arizona
Koa Peat,10,FR,F,6-8,235.0,"Chandler, AZ",Gilbert Perry (AZ),8 (2025),"13.8 Pts, 5.4 Reb, 2.6 Ast",Arizona
Motiejus Krivas,13,JR,C,7-2,260.0,"Siauliai, Lithuania",Žalgiris Kaunas (Lithuania),,"10.8 Pts, 8.7 Reb, 1.1 Ast",Arizona
Ivan Kharchenkov,8,FR,F,6-7,220.0,"Munich, Germany",Bayern Munich (Germany),,"10.0 Pts, 3.7 Reb, 2.2 Ast",Arizona
Tobe Awaka,30,JR,F,6-8,250.0,"Hyde Park, NY",Cardinal Hayes (NY),,"9.7 Pts, 9.6 Reb, 1.0 Ast",Arizona
Anthony Dell'Orso,3,SR,G,6-6,190.0,"Melbourne, Australia",Marcellin College (Australia),,"8.5 Pts, 2.0 Reb, 2.3 Ast",Arizona
Dwayne Aristode,2,FR,G,6-8,220.0,"Lelystad, Netherlands",Brewster Academy (NH),23 (2025),"4.7 Pts, 2.0 Reb, 0.8 Ast",Arizona
Sidi Gueye,15,FR,F,6-10,215.0,"Guediawaye, Senegal",Real Madrid (Spain),,"1.6 Pts, 0.8 Reb, 0.2 Ast",Arizona
Evan Nelson,21,SR,G,6-2,170.0,"Tucson, AZ",Salpointe Catholic HS,,"0.6 Pts, 0.6 Reb, 0.4 Ast",Arizona
Sven Djopmo,42,SO,G,6-2,190.0,"Reims, France",Champagne Basket (France); Nanterre 92 (France),,"0.6 Pts, 0.2 Reb, 0.3 Ast",Arizona
Addison Arnold,22,SO,G,6-3,185.0,"Simi Valley, CA",Royal HS,,"0.3 Pts, 0.5 Reb, 0.2 Ast",Arizona
Jackson Francois,7,JR,G,6-4,155.0,"Las Vegas, NV",Bishop Gorman (NV),,"0.6 Pts, 0.6 Reb, 0.0 Ast",Arizona
Jackson Cook,11,SO,G,6-2,175.0,"Oxford, United Kingdom",Montverde Academy (FL),,"0.0 Pts, 0.1 Reb, 0.0 Ast",Arizona
Bryce James,6,FR,G,6-5,195.0,"Akron, OH",Sierra Canyon (CA),,,Arizona
Mabil Mawut,20,FR,F,6-10,200.0,"Bor Town, South Sudan",NBA Academy (Senegal); Our Saviour Lutheran (NY),,,Arizona
Moe Odum,5,SR,G,6-1,160.0,"New York, NY",Union City (NJ); West Oaks Academy (FL),,"17.3 Pts, 3.0 Reb, 5.9 Ast",Arizona State
Massamba Diop,35,FR,C,7-1,230.0,"Rufisque, Senegal",Gran Canaria (Spain),,"13.9 Pts, 5.8 Reb, 1.1 Ast",Arizona State
Anthony Johnson,2,SR,G,6-3,175.0,"Midfield, AL",Midfield (AL),,"13.2 Pts, 3.1 Reb, 1.7 Ast",Arizona State
Santiago Trouet,1,JR,F,6-10,218.0,"Buenos Aires, Argentina",Movistar Estudiantes Madrid (Spain),,"8.0 Pts, 5.6 Reb, 0.9 Ast",Arizona State
Andrija Grbovic,14,JR,F,6-11,207.0,"Pljevlja, Montenegro",,,"7.1 Pts, 3.2 Reb, 0.4 Ast",Arizona State
